iter	MAE
0	5.023713954
1	4.895838812
2	4.764389985
3	4.636109353
4	4.52071119
5	4.406433684
6	4.291345536
7	4.178279586
8	4.073462069
9	3.96980776
10	3.873348549
11	3.774921338
12	3.681838798
13	3.595525085
14	3.507300027
1515	3.405051251616	3.323997381717	3.245740119
18	3.175208934
19	3.100970344
20	3.035048183
21	2.965994223
22	2.903286478
23	2.843351226
24	2.783157978
25	2.728844581
26	2.672603997
27	2.615117643
28	2.564355865
29	2.512210474
30	2.463179635
31	2.414108345
32	2.368314098
33	2.325304774
34	2.279413178
35	2.242282767
36	2.20090379
37	2.165636164
38	2.12689304
39	2.088600071
40	2.051486044
41	2.017244234
42	1.981803152
43	1.953148808
44	1.924140361
45	1.895036567
46	1.868216077
47	1.843982594
48	1.81373948
49	1.790489549
50	1.76743523
51	1.745286094
52	1.722176263
53	1.699794741
54	1.679637408
55	1.659288392
56	1.639047984
57	1.619278045
58	1.600717381
59	1.577937987
60	1.558963111
61	1.543834461
62	1.527521074
63	1.510868282
64	1.495307151
65	1.479972824
66	1.460407746
67	1.44623168
68	1.430895491
69	1.416811133
70	1.402337757
71	1.388356209
72	1.376863963
73	1.365479748
74	1.351305914
75	1.336937896
76	1.326422704
77	1.316363731
78	1.303684547
79	1.293675738
80	1.28301295
81	1.271431573
82	1.263664374
83	1.254464295
84	1.244628455
85	1.237031809
86	1.227547668
87	1.21737522
88	1.207602023
89	1.19904487
90	1.190916037
91	1.182934765
92	1.17404299
93	1.167311256
94	1.16067998
95	1.153912512
96	1.147359009
97	1.140848025
98	1.134865368
99	1.129974318
100	1.12585896
101	1.118505401
102	1.11281773
103	1.106967831
104	1.101970666
105	1.095646523
106	1.091177083
107	1.085922257
108	1.081095517
109	1.074800938
110	1.069228377
111	1.064326459
112	1.060404982
113	1.055216006
114	1.050272511
115	1.046978953
116	1.044211956
117	1.041386474
118	1.037410639
119	1.034245822
120	1.031563964
121	1.027893593
122	1.024674381
123	1.022186765
124	1.01851663
125	1.01429462
126	1.0101887
127	1.004666955
128	1.001400223
129	0.999559732
130	0.9968494141
131	0.9936106936
132	0.9898542405
133	0.9875923365
134	0.985662961
135	0.9786022162
136	0.9759802837
137	0.9722768911
138	0.9684004321
139	0.9629207141
140	0.9590207701
141	0.9565866081
142	0.9534392718
143	0.9522520216
144	0.9504983309
145	0.9475632184
146	0.9427912789
147	0.9408995583
148	0.938938005
149	0.9369406796
150	0.9344083333
151	0.9298093378
152	0.9254727065
153	0.9208016159
154	0.9175738136
155	0.9153626587
156	0.9133197846
157	0.911686695
158	0.9066981537
159	0.9038118234
160	0.9007536291
161	0.8981717069
162	0.8965159223
163	0.8928400906
164	0.8901511342
165	0.88426278
166	0.8812189203
167	0.8807049501
168	0.8782790163
169	0.8770845452
170	0.8731801576
171	0.871680587
172	0.8694766761
173	0.8681750488
174	0.866765664
175	0.8646624751
176	0.8635859168
177	0.8604082331
178	0.8594909037
179	0.8564810394
180	0.8545800917
181	0.8509516892
182	0.8496035842
183	0.8459325715
184	0.8449570705
185	0.8434880882
186	0.8419997046
187	0.8379723492
188	0.8355691139
189	0.8336944756
190	0.8327735297
191	0.8297516551
192	0.8277949423
193	0.8260551504
194	0.8251707836
195	0.8220138352
196	0.8215384942
197	0.8167261797
198	0.8137066817
199	0.8115664905
200	0.8097393863
201	0.8063563118
202	0.8046848392
203	0.8005571639
204	0.7986429184
205	0.7954815465
206	0.7930338631
207	0.7912420534
208	0.7899935146
209	0.7887520614
210	0.7868299164
211	0.7850953834
212	0.7829016628
213	0.7818100068
