iter	Passed	Remaining
0	139	111794
1	144	57509
2	147	39240
3	151	30246
4	155	24791
5	159	21077
6	162	18427
7	166	16517
8	171	15054
9	175	13832
10	178	12826
11	182	11971
12	186	11290113	190	10668114	193	1012215	198	9703
16	204	9419
17	210	9132
18	214	8824
19	219	8557
20	224	8321
21	230	8136
22	236	7976
23	241	7813
24	247	7674
25	252	7524
26	257	7378
27	262	7239
28	268	7141
29	273	7022
30	279	6928
31	285	6858
32	291	6786
33	299	6752
34	305	6680
35	313	6645
36	319	6587
37	327	6561
38	334	6536
39	342	6498
40	349	6479
41	354	6406
42	363	6391
43	370	6364
44	376	6320
45	382	6265
46	388	6229
47	395	6196
48	403	6187
49	409	6140
50	416	6117
51	422	6082
52	429	6051
53	437	6045
54	444	6017
55	452	6006
56	457	5961
57	462	5923
58	469	5894
59	474	5856
60	482	5850
61	488	5817
62	495	5800
63	502	5782
64	509	5761
65	515	5729
66	520	5698
67	525	5655
68	529	5613
69	535	5589
70	541	5560
71	546	5530
72	549	5469
73	555	5451
74	560	5420
75	565	5388
76	570	5354
77	576	5336
78	581	5304
79	585	5273
80	591	5254
81	597	5228
82	602	5203
83	606	5170
84	612	5151
85	617	5126
86	624	5118
87	629	5094
88	634	5069
89	640	5053
90	645	5025
91	650	5004
92	656	4990
93	661	4965
94	667	4950
95	672	4935
96	679	4923
97	684	4906
98	690	4889
99	695	4867
100	701	4852
101	705	4830
102	712	4818
103	719	4815
104	725	4799
105	730	4785
106	737	4779
107	743	4763
108	748	4743
109	756	4744
110	761	4727
111	769	4725
112	774	4706
113	780	4696
114	785	4676
115	791	4666
116	797	4654
117	802	4637
118	809	4631
119	813	4611
120	819	4600
121	826	4591
122	833	4589
123	840	4584
124	847	4578
125	855	4576
126	861	4563
127	865	4546
128	873	4543
129	878	4526
130	884	4514
131	891	4511
132	896	4493
133	904	4493
134	910	4483
135	915	4467
136	919	4451
137	924	4432
138	928	4416
139	932	4396
140	936	4379
141	940	4360
142	945	4345
